symbol,S,K,r,sigma,T,isCall
META_C_135_391,157.20,135.20,0.0363,0.3375,1.9859,1
SPY_C_444_392,392.56,444.50,0.0447,0.3589,0.5662,1
QQQ_P_103_393,117.10,103.39,0.0441,0.2930,1.6522,0
QQQ_C_141_394,155.48,141.99,0.0331,0.1860,1.5535,1
SPY_C_172_395,193.79,172.88,0.0440,0.2491,0.0935,1
AMZN_P_412_396,432.81,412.94,0.0339,0.2475,0.6737,0
AMD_C_81_397,72.03,81.47,0.0372,0.2108,0.3034,1
AMD_P_252_398,240.51,252.06,0.0473,0.2110,0.6076,0
MSFT_C_51_399,51.45,51.83,0.0336,0.3646,0.9866,1
AMZN_C_63_400,55.43,63.65,0.0369,0.1705,0.6101,1
AMD_C_236_401,267.18,236.16,0.0442,0.2446,1.8073,1
TSLA_P_460_402,497.35,460.26,0.0332,0.3326,0.5948,0
META_C_72_403,68.05,72.37,0.0475,0.3295,0.3141,1
SPY_P_317_404,309.92,317.66,0.0463,0.3221,1.3638,0
AAPL_P_62_405,65.79,62.95,0.0334,0.2815,1.4168,0
NVDA_C_152_406,143.70,152.60,0.0375,0.2494,1.5427,1
GOOGL_C_478_407,486.40,479.00,0.0396,0.3233,1.7919,1
SPY_P_335_408,305.84,335.05,0.0461,0.1507,0.1101,0
QQQ_P_439_409,495.29,439.00,0.0392,0.2760,0.7628,0
QQQ_C_345_410,360.34,345.13,0.0427,0.1869,0.6412,1
AAPL_P_276_411,296.04,276.29,0.0451,0.1881,0.4436,0
MSFT_C_297_412,342.70,297.39,0.0414,0.3902,1.8740,1
NVDA_C_152_413,154.53,152.31,0.0366,0.2604,1.6549,1
QQQ_C_278_414,259.31,278.17,0.0432,0.3765,0.6121,1
AAPL_P_338_415,375.48,338.48,0.0381,0.3855,1.2973,0
SPY_P_72_416,70.64,72.95,0.0394,0.3115,1.4763,0
AMZN_C_111_417,119.54,111.75,0.0385,0.3829,1.1637,1
QQQ_C_443_418,420.44,443.32,0.0461,0.2547,0.1774,1
MSFT_C_115_419,126.64,115.25,0.0494,0.2455,0.0905,1
NVDA_P_192_420,197.32,192.21,0.0373,0.2883,0.3298,0
META_P_218_421,206.80,218.37,0.0374,0.3245,0.6291,0
AAPL_P_117_422,108.84,117.49,0.0389,0.1851,0.0916,0
NVDA_P_62_423,65.97,62.09,0.0327,0.3733,0.1524,0
META_P_145_424,137.75,145.63,0.0436,0.2391,1.2128,0
TSLA_P_145_425,158.77,145.44,0.0399,0.1504,1.9947,0
TSLA_C_426_426,387.78,426.72,0.0428,0.3885,1.0812,1
SPY_P_295_427,327.08,295.67,0.0370,0.2202,1.6155,0
AMZN_C_362_428,354.30,362.99,0.0381,0.2667,1.1756,1
NVDA_P_244_429,216.59,244.14,0.0376,0.2502,1.6048,0
GOOGL_C_172_430,186.72,172.40,0.0448,0.2606,0.2179,1
NVDA_P_215_431,213.36,215.97,0.0385,0.3914,0.4085,0
SPY_P_71_432,65.80,71.78,0.0457,0.2079,1.6596,0
SPY_P_427_433,453.23,427.07,0.0486,0.2477,1.9572,0
META_P_216_434,249.68,216.07,0.0458,0.2923,0.7899,0
AAPL_C_481_435,465.27,481.69,0.0436,0.2437,1.2540,1
QQQ_C_72_436,80.34,72.34,0.0475,0.3007,1.2810,1
NVDA_C_362_437,413.70,362.87,0.0305,0.1710,1.3231,1
AAPL_C_349_438,356.03,349.40,0.0334,0.3799,1.3015,1
AMD_P_210_439,231.51,210.04,0.0451,0.3515,0.3217,0
AAPL_C_324_440,373.36,324.68,0.0484,0.2394,0.5580,1
TSLA_P_300_441,269.14,300.96,0.0409,0.1933,0.7200,0
NVDA_C_418_442,401.89,418.88,0.0440,0.2801,0.7498,1
QQQ_C_357_443,354.73,357.70,0.0347,0.2375,1.3852,1
AMD_P_121_444,106.83,121.70,0.0410,0.2797,1.3948,0
SPY_C_66_445,65.98,66.14,0.0366,0.3607,1.7486,1
TSLA_P_67_446,72.38,67.50,0.0495,0.3392,0.5000,0
AAPL_P_60_447,69.02,60.94,0.0473,0.2285,1.7583,0
AAPL_C_257_448,225.53,257.28,0.0476,0.2809,0.9214,1
TSLA_C_228_449,204.85,228.53,0.0497,0.1715,1.4635,1
AAPL_P_82_450,95.54,82.70,0.0498,0.1573,1.4236,0
AMZN_P_137_451,129.18,137.72,0.0311,0.3226,0.9404,0
AMZN_P_170_452,166.12,170.24,0.0359,0.1588,0.4312,0
AAPL_C_163_453,187.85,163.40,0.0301,0.3924,1.1230,1
SPY_C_341_454,394.35,341.81,0.0466,0.1560,1.8929,1
NVDA_C_475_455,427.86,475.36,0.0427,0.3316,1.3483,1
AMD_P_151_456,138.21,151.13,0.0472,0.1922,1.4560,0
QQQ_C_178_457,169.62,178.14,0.0354,0.1698,1.9996,1
QQQ_C_400_458,456.83,400.10,0.0311,0.2224,0.9864,1
MSFT_C_232_459,221.07,232.38,0.0396,0.3693,0.6183,1
META_C_90_460,89.14,90.33,0.0453,0.3183,1.9923,1
AAPL_P_167_461,188.49,167.96,0.0310,0.1827,1.7067,0
SPY_P_257_462,290.38,257.45,0.0409,0.2552,1.0977,0
TSLA_C_69_463,81.35,69.67,0.0448,0.3329,1.0478,1
MSFT_P_518_464,471.18,518.45,0.0345,0.3284,1.9780,0
NVDA_P_353_465,408.82,353.13,0.0476,0.2101,0.6628,0
AAPL_P_419_466,435.44,419.70,0.0359,0.1794,1.2682,0
AAPL_P_98_467,100.36,98.30,0.0487,0.2395,0.9366,0
AMD_P_405_468,355.33,405.92,0.0414,0.3044,1.7725,0
AAPL_P_119_469,128.79,119.87,0.0422,0.1833,1.0938,0
GOOGL_C_243_470,263.94,243.35,0.0368,0.3153,0.8702,1
SPY_C_438_471,423.62,438.81,0.0474,0.3495,1.1217,1
AAPL_C_372_472,354.38,372.12,0.0478,0.3017,0.6064,1
SPY_C_230_473,231.23,230.00,0.0447,0.3028,1.4428,1
MSFT_P_499_474,479.10,499.69,0.0481,0.3744,1.7192,0
META_C_439_475,496.92,439.43,0.0400,0.2421,1.4601,1
NVDA_C_369_476,337.12,369.38,0.0346,0.3947,1.6195,1
AMD_C_297_477,330.60,297.13,0.0476,0.2613,0.4313,1
AAPL_P_63_478,59.92,63.39,0.0430,0.3703,1.2221,0
AAPL_C_309_479,297.25,309.48,0.0381,0.3175,0.7704,1
AMZN_C_446_480,421.27,446.60,0.0346,0.3459,1.1643,1
META_P_211_481,224.83,211.33,0.0349,0.1714,0.9220,0
TSLA_C_249_482,282.53,249.34,0.0439,0.2756,1.0729,1
TSLA_C_476_483,414.91,476.06,0.0321,0.2537,0.4904,1
AMZN_C_53_484,53.19,53.80,0.0448,0.1997,0.4058,1
SPY_P_295_485,330.24,295.36,0.0399,0.1731,0.8405,0
TSLA_C_309_486,272.02,309.22,0.0334,0.3168,0.1192,1
GOOGL_C_372_487,410.19,372.62,0.0487,0.1814,0.2558,1
MSFT_C_140_488,150.26,140.67,0.0345,0.2141,0.6694,1
AAPL_P_407_489,368.40,407.65,0.0465,0.3721,1.2458,0
AMD_C_314_490,336.98,314.22,0.0456,0.3429,0.2139,1
NVDA_P_419_491,448.84,419.17,0.0303,0.2078,1.0847,0
TSLA_P_79_492,72.38,79.62,0.0387,0.2677,0.0853,0
MSFT_P_69_493,63.69,69.12,0.0327,0.1616,1.9788,0
TSLA_P_419_494,389.92,419.51,0.0393,0.1666,1.0143,0
SPY_C_440_495,464.71,440.10,0.0423,0.2120,0.8424,1
SPY_P_280_496,273.64,280.72,0.0468,0.1982,0.6440,0
MSFT_P_259_497,233.40,259.59,0.0422,0.2313,1.5419,0
GOOGL_C_205_498,228.44,205.32,0.0434,0.3886,0.1493,1
META_P_436_499,407.15,436.80,0.0318,0.3950,1.8632,0
AAPL_P_170_500,153.15,170.23,0.0464,0.2833,0.4679,0
AMD_C_535_501,471.69,535.14,0.0418,0.2950,1.0750,1
TSLA_P_187_502,195.25,187.30,0.0371,0.1675,0.2056,0
MSFT_C_429_503,424.29,429.19,0.0490,0.3921,0.6128,1
META_C_272_504,308.62,272.82,0.0343,0.1885,0.6918,1
AMD_C_261_505,263.51,261.60,0.0318,0.2807,1.7467,1
NVDA_C_511_506,482.87,511.56,0.0487,0.3437,0.2045,1
QQQ_P_369_507,390.85,369.50,0.0316,0.1592,1.8705,0
NVDA_P_235_508,227.69,235.13,0.0486,0.3765,0.5496,0
AMD_P_414_509,411.64,414.37,0.0414,0.2726,1.3536,0
NVDA_P_62_510,64.94,62.36,0.0495,0.2345,1.4868,0
AMD_C_293_511,308.20,293.83,0.0350,0.1977,1.6977,1
SPY_C_161_512,170.20,162.00,0.0435,0.1612,1.3775,1
MSFT_P_200_513,193.78,200.95,0.0493,0.2813,0.5203,0
TSLA_C_314_514,324.10,314.25,0.0464,0.2767,0.6153,1
AMD_P_348_515,395.44,348.49,0.0316,0.3169,0.2448,0
META_C_143_516,146.07,143.05,0.0491,0.3904,1.3545,1
QQQ_P_347_517,305.35,347.28,0.0396,0.3676,0.9274,0
AMD_P_383_518,354.96,383.66,0.0330,0.2237,1.6639,0
TSLA_C_202_519,178.58,202.03,0.0410,0.3612,0.4812,1
AMZN_C_190_520,175.08,190.57,0.0408,0.3442,1.6185,1
META_C_279_521,279.24,279.62,0.0326,0.2063,1.2862,1
QQQ_C_268_522,277.46,268.45,0.0309,0.2716,0.5381,1
GOOGL_C_244_523,214.35,244.87,0.0314,0.1503,0.2802,1
MSFT_C_228_524,210.65,228.03,0.0338,0.3392,1.8979,1
AMZN_C_272_525,307.58,272.48,0.0371,0.1625,0.0843,1
AMZN_P_540_526,474.57,540.36,0.0444,0.3636,1.0491,0
META_P_49_527,54.02,49.41,0.0460,0.3199,0.5529,0
AMD_P_374_528,356.72,374.56,0.0317,0.3417,0.9476,0
GOOGL_C_63_529,56.56,63.14,0.0452,0.2318,0.5226,1
TSLA_P_387_530,362.11,387.52,0.0380,0.3190,1.9109,0
AMD_P_428_531,415.78,428.47,0.0317,0.2865,1.9725,0
NVDA_C_446_532,403.91,446.48,0.0357,0.2115,1.5407,1
TSLA_C_409_533,406.05,409.45,0.0483,0.1778,1.7038,1
NVDA_P_322_534,300.66,322.41,0.0378,0.3716,1.4157,0
NVDA_P_81_535,92.37,81.77,0.0354,0.3497,1.0402,0
SPY_P_313_536,295.48,313.34,0.0388,0.3239,0.6870,0
AAPL_C_394_537,353.56,394.63,0.0458,0.3003,1.2244,1
AMD_P_111_538,103.02,111.30,0.0454,0.3004,0.1221,0
QQQ_C_511_539,471.66,511.21,0.0389,0.2435,1.1962,1
AMZN_C_83_540,84.80,83.63,0.0333,0.2379,0.1667,1
MSFT_P_313_541,286.26,313.74,0.0302,0.2559,0.3213,0
QQQ_P_399_542,409.76,399.78,0.0496,0.2018,1.2639,0
META_P_440_543,385.50,440.99,0.0431,0.2379,0.2973,0
AMD_C_449_544,406.70,449.33,0.0432,0.2836,0.3216,1
MSFT_C_496_545,433.47,496.85,0.0441,0.3931,1.9106,1
MSFT_P_216_546,202.78,216.36,0.0335,0.3496,1.2657,0
GOOGL_C_370_547,395.78,370.73,0.0423,0.2318,1.3095,1
AMZN_P_266_548,295.11,266.61,0.0338,0.2919,1.6791,0
QQQ_C_282_549,295.63,282.16,0.0495,0.2727,1.1818,1
AMZN_C_152_550,175.35,152.48,0.0480,0.3607,1.9466,1
QQQ_P_116_551,114.63,116.01,0.0479,0.1603,1.1620,0
MSFT_P_279_552,275.86,279.88,0.0440,0.1708,1.4273,0
NVDA_P_172_553,175.06,172.36,0.0362,0.3317,1.1247,0
GOOGL_C_112_554,115.34,112.01,0.0408,0.2977,0.9985,1
MSFT_C_438_555,419.40,438.79,0.0408,0.3061,0.8191,1
GOOGL_C_329_556,307.34,329.02,0.0432,0.2284,1.0990,1
SPY_P_139_557,134.71,139.82,0.0471,0.2785,1.7459,0
GOOGL_P_480_558,436.33,480.41,0.0388,0.3695,0.5366,0
MSFT_C_254_559,295.58,254.81,0.0354,0.2245,1.1140,1
AMD_C_293_560,288.37,293.43,0.0353,0.1541,0.3840,1
GOOGL_C_68_561,62.70,68.40,0.0474,0.3684,1.1003,1
GOOGL_P_484_562,423.52,484.48,0.0350,0.1874,1.6640,0
TSLA_P_112_563,103.91,112.33,0.0414,0.2068,0.0839,0
AMD_P_426_564,372.63,426.91,0.0426,0.3171,0.0923,0
MSFT_P_213_565,219.67,213.85,0.0358,0.3726,1.9627,0
AMZN_P_493_566,491.28,493.68,0.0414,0.3440,1.5618,0
NVDA_P_413_567,479.14,413.02,0.0443,0.3232,1.2247,0
NVDA_C_163_568,143.59,163.35,0.0449,0.3723,1.3171,1
AMD_P_116_569,123.20,116.51,0.0481,0.3659,1.0541,0
META_P_219_570,246.48,219.14,0.0390,0.2711,0.6169,0
SPY_P_263_571,255.68,263.95,0.0340,0.3867,0.8321,0
QQQ_C_403_572,460.25,403.55,0.0404,0.1887,1.6912,1
QQQ_P_95_573,87.02,95.31,0.0319,0.2209,1.5271,0
META_P_440_574,438.97,440.80,0.0429,0.3983,1.2160,0
AAPL_C_365_575,329.13,365.73,0.0450,0.2025,0.8325,1
NVDA_C_439_576,385.67,439.21,0.0491,0.3746,1.8576,1
AMD_C_202_577,188.13,202.90,0.0341,0.2984,0.9215,1
MSFT_P_239_578,248.68,239.70,0.0481,0.1688,1.5574,0
NVDA_P_150_579,134.18,150.42,0.0348,0.1849,0.4826,0
META_C_411_580,382.78,411.33,0.0308,0.3031,0.6330,1
AMZN_P_450_581,443.74,450.45,0.0406,0.2551,1.1374,0
META_P_80_582,74.39,80.95,0.0451,0.2744,0.3980,0
AMZN_P_386_583,415.50,386.68,0.0323,0.2078,1.7387,0
AAPL_C_422_584,460.46,422.42,0.0460,0.1784,1.1255,1
GOOGL_C_216_585,196.27,216.44,0.0323,0.2543,0.3718,1
META_C_353_586,366.31,353.17,0.0430,0.2791,1.6002,1
AMZN_C_347_587,395.06,347.84,0.0383,0.1665,1.7382,1
MSFT_C_169_588,151.54,169.13,0.0447,0.1670,1.2675,1
MSFT_C_197_589,191.57,197.74,0.0356,0.2040,0.6264,1
GOOGL_C_62_590,72.33,62.99,0.0371,0.3927,1.2472,1
TSLA_P_530_591,464.70,530.16,0.0343,0.3826,1.8018,0
MSFT_C_301_592,265.61,301.61,0.0351,0.1688,0.8500,1
NVDA_P_176_593,163.19,176.44,0.0453,0.3685,1.0295,0
SPY_P_207_594,182.62,207.14,0.0338,0.3769,1.6575,0
AAPL_P_221_595,237.55,221.85,0.0337,0.2689,1.6025,0
AAPL_P_218_596,207.72,218.53,0.0394,0.1964,0.1863,0
QQQ_C_217_597,200.50,217.97,0.0312,0.3412,1.1405,1
META_C_341_598,311.39,341.27,0.0455,0.3583,0.2196,1
SPY_C_420_599,464.36,420.84,0.0486,0.3188,1.0252,1
SPY_C_505_600,449.10,505.08,0.0312,0.3054,1.7925,1
NVDA_P_58_601,62.55,58.15,0.0492,0.2067,0.5956,0
META_C_380_602,384.28,380.69,0.0332,0.1866,0.4311,1
GOOGL_C_312_603,320.71,312.69,0.0366,0.2566,0.1261,1
QQQ_P_300_604,301.11,300.16,0.0420,0.2876,1.3329,0
AAPL_P_390_605,348.63,390.41,0.0412,0.2648,0.6965,0
GOOGL_C_77_606,76.72,77.08,0.0396,0.3198,0.9908,1
AMZN_P_506_607,491.35,506.83,0.0353,0.2386,0.6221,0
META_C_108_608,113.26,108.33,0.0405,0.1962,0.4646,1
SPY_C_374_609,426.83,374.06,0.0312,0.2739,1.0629,1
NVDA_P_122_610,107.64,122.44,0.0337,0.2119,1.2728,0
NVDA_C_153_611,170.65,153.28,0.0337,0.3213,1.2182,1
MSFT_C_420_612,410.53,420.26,0.0478,0.2500,0.2194,1
GOOGL_P_75_613,87.88,75.08,0.0402,0.2005,1.8752,0
AAPL_C_173_614,193.40,173.96,0.0424,0.2493,1.8370,1
GOOGL_C_383_615,409.89,383.37,0.0324,0.3961,1.8846,1
AMZN_C_123_616,111.12,123.38,0.0362,0.3372,0.2726,1
AMD_P_232_617,241.36,232.39,0.0425,0.1579,0.4610,0
SPY_P_559_618,486.81,559.76,0.0371,0.3592,0.8503,0
AMZN_C_349_619,396.49,349.41,0.0383,0.1867,0.4128,1
MSFT_C_84_620,77.36,84.29,0.0340,0.3720,1.2451,1
AMD_P_73_621,73.83,73.63,0.0357,0.3512,0.1296,0
AMD_C_523_622,490.15,523.61,0.0317,0.3719,0.4337,1
GOOGL_C_500_623,499.08,500.75,0.0326,0.3078,0.2259,1
AAPL_P_419_624,466.09,419.10,0.0484,0.3900,1.4061,0
AMZN_C_158_625,174.67,158.82,0.0421,0.3087,1.8264,1
AMD_P_372_626,424.44,372.19,0.0409,0.3284,0.8821,0
META_C_461_627,486.61,461.13,0.0399,0.3236,1.5720,1
QQQ_P_399_628,454.38,399.89,0.0478,0.1621,0.9054,0
AAPL_C_55_629,50.10,55.93,0.0363,0.2300,0.1010,1
SPY_P_410_630,422.84,410.24,0.0408,0.2386,0.4494,0
AMZN_P_450_631,474.94,450.29,0.0396,0.2183,0.3704,0
MSFT_C_484_632,433.18,484.63,0.0345,0.3715,1.3205,1
GOOGL_C_338_633,325.68,338.02,0.0490,0.2566,1.3627,1
QQQ_C_137_634,157.16,137.46,0.0474,0.1680,0.6226,1
META_P_431_635,457.55,431.26,0.0372,0.3622,0.2106,0
NVDA_P_331_636,340.31,331.06,0.0346,0.1693,1.9781,0
GOOGL_P_302_637,282.60,302.26,0.0449,0.2303,1.7854,0
AMD_C_299_638,280.66,299.31,0.0312,0.2909,1.0593,1
AAPL_C_188_639,188.69,188.91,0.0467,0.3848,1.6182,1
AMZN_C_201_640,203.85,201.97,0.0369,0.1561,0.8797,1
GOOGL_P_132_641,117.69,132.11,0.0475,0.3335,1.9785,0
AMD_C_372_642,324.97,372.90,0.0306,0.2753,0.2897,1
GOOGL_P_109_643,114.40,109.25,0.0477,0.3848,1.1352,0
QQQ_P_210_644,188.03,210.19,0.0399,0.3686,0.2032,0
NVDA_C_221_645,206.41,221.86,0.0363,0.2513,0.6832,1
AMZN_P_92_646,102.31,92.76,0.0446,0.3142,0.5904,0
NVDA_P_253_647,257.96,253.70,0.0409,0.2760,0.2670,0
GOOGL_P_136_648,119.02,136.63,0.0381,0.2601,1.9247,0
MSFT_P_506_649,497.05,506.34,0.0386,0.2910,1.6144,0
NVDA_P_165_650,157.30,165.40,0.0360,0.2599,0.8138,0
AAPL_C_311_651,293.40,311.08,0.0409,0.3793,0.5797,1
NVDA_C_436_652,476.41,436.97,0.0361,0.2542,0.2958,1
NVDA_P_353_653,346.64,354.00,0.0349,0.1710,1.9465,0
NVDA_P_57_654,63.68,57.27,0.0312,0.2616,0.7689,0
AMD_C_52_655,55.63,52.33,0.0344,0.3442,0.2106,1
GOOGL_C_241_656,241.89,241.30,0.0350,0.3259,0.8888,1
MSFT_P_297_657,259.53,297.29,0.0449,0.2364,0.5725,0
AAPL_C_303_658,320.75,303.36,0.0493,0.1965,0.7548,1
META_P_267_659,245.28,267.57,0.0490,0.1653,1.6242,0
META_C_322_660,293.61,322.55,0.0379,0.3060,0.7664,1
MSFT_C_384_661,344.68,384.73,0.0321,0.1806,1.2902,1
QQQ_C_219_662,246.94,219.92,0.0477,0.2271,1.6289,1
QQQ_C_285_663,270.93,285.86,0.0491,0.2907,0.3473,1
TSLA_C_252_664,283.58,252.16,0.0470,0.3805,0.7981,1
META_P_311_665,307.71,311.36,0.0351,0.1638,1.4554,0
META_C_57_666,59.31,57.38,0.0402,0.1907,0.4678,1
NVDA_C_240_667,256.69,240.50,0.0310,0.2903,1.0202,1
AAPL_C_155_668,143.41,155.98,0.0472,0.2635,0.6111,1
META_P_336_669,304.62,336.47,0.0381,0.2365,1.3741,0
META_C_55_670,51.79,55.49,0.0441,0.1673,0.6108,1
AMD_P_104_671,91.93,104.40,0.0374,0.1740,0.2323,0
META_C_277_672,251.01,277.99,0.0444,0.2499,1.5351,1
QQQ_C_511_673,496.10,511.77,0.0388,0.3330,1.3656,1
AMZN_P_123_674,117.43,123.00,0.0340,0.2762,1.2497,0
AMD_C_438_675,469.17,438.80,0.0309,0.2591,1.5330,1
NVDA_P_509_676,444.20,509.59,0.0387,0.2491,1.4637,0
QQQ_C_486_677,424.35,486.45,0.0441,0.1654,1.9271,1
NVDA_P_98_678,108.47,98.86,0.0337,0.2086,0.9102,0
SPY_C_71_679,78.69,71.55,0.0495,0.2418,0.3451,1
NVDA_P_430_680,492.67,430.93,0.0319,0.2382,1.0487,0
MSFT_C_368_681,361.30,368.77,0.0460,0.2521,0.6243,1
QQQ_P_101_682,103.32,101.60,0.0387,0.2509,1.1698,0
AMZN_P_220_683,232.35,220.77,0.0422,0.3536,1.6093,0
AMZN_P_456_684,425.46,456.78,0.0441,0.2493,0.6817,0
AAPL_C_370_685,340.85,370.57,0.0383,0.3499,0.2216,1
MSFT_P_115_686,113.93,115.06,0.0374,0.2063,1.0087,0
NVDA_C_216_687,245.24,216.38,0.0392,0.3899,0.6358,1
META_C_46_688,53.73,46.60,0.0396,0.3423,1.6560,1
META_C_67_689,69.49,67.76,0.0476,0.3777,1.5628,1
MSFT_P_482_690,430.19,482.76,0.0398,0.2229,1.8298,0
QQQ_P_388_691,385.10,388.80,0.0348,0.2927,1.9282,0
MSFT_P_122_692,107.65,122.35,0.0412,0.2335,1.4067,0
GOOGL_P_227_693,202.88,228.00,0.0314,0.2378,0.9535,0
SPY_P_466_694,485.90,466.32,0.0328,0.1627,0.7039,0
TSLA_C_493_695,483.36,493.54,0.0324,0.3013,0.6074,1
AMD_P_399_696,378.06,399.53,0.0339,0.2378,1.5908,0
TSLA_P_205_697,189.89,205.94,0.0349,0.2261,0.1293,0
AMZN_C_436_698,492.82,436.23,0.0449,0.2298,0.9257,1
MSFT_P_430_699,409.16,430.66,0.0394,0.3208,0.6246,0
TSLA_P_453_700,412.43,453.13,0.0426,0.3415,0.7032,0
AMZN_P_185_701,217.02,185.56,0.0450,0.3202,1.9235,0
GOOGL_C_294_702,270.54,294.66,0.0306,0.1896,1.3278,1
AMZN_P_340_703,374.97,340.45,0.0336,0.1556,1.0361,0
AMZN_P_444_704,430.97,444.49,0.0477,0.2391,1.3931,0
META_P_192_705,193.46,192.91,0.0370,0.1768,1.0693,0
GOOGL_C_58_706,54.20,58.08,0.0447,0.3000,0.4846,1
TSLA_C_353_707,318.06,353.73,0.0420,0.3433,1.9754,1
NVDA_C_332_708,301.34,332.04,0.0330,0.2236,1.8335,1
GOOGL_P_466_709,482.16,466.93,0.0367,0.3039,1.6863,0
NVDA_P_474_710,439.70,474.61,0.0318,0.2524,0.8016,0
NVDA_C_345_711,352.06,345.13,0.0417,0.3802,0.8544,1
QQQ_P_52_712,61.30,53.00,0.0459,0.3019,1.4972,0
MSFT_C_391_713,373.90,391.48,0.0322,0.1550,1.2313,1
NVDA_P_126_714,141.58,126.31,0.0323,0.3737,0.8291,0
GOOGL_P_250_715,241.08,250.24,0.0398,0.2973,1.9242,0
AMD_C_217_716,244.45,217.98,0.0420,0.2563,1.3780,1
NVDA_P_222_717,254.38,222.08,0.0422,0.3994,1.3525,0
SPY_C_351_718,310.38,351.03,0.0454,0.3434,1.1820,1
QQQ_C_171_719,187.92,171.37,0.0334,0.3761,0.3056,1
NVDA_C_256_720,287.80,256.37,0.0410,0.3430,1.0077,1
AMZN_C_462_721,448.25,462.29,0.0440,0.2931,0.5130,1
NVDA_C_89_722,102.99,89.03,0.0433,0.3219,1.5765,1
NVDA_P_112_723,115.79,112.24,0.0314,0.2227,1.4788,0
GOOGL_C_307_724,289.23,307.97,0.0361,0.2220,0.5516,1
AMZN_C_377_725,362.27,377.26,0.0380,0.1888,1.3102,1
TSLA_C_403_726,354.47,403.15,0.0335,0.2927,0.2455,1
MSFT_P_198_727,213.15,198.19,0.0334,0.2950,0.9430,0
MSFT_P_70_728,66.42,70.66,0.0332,0.3704,0.6066,0
NVDA_C_496_729,480.97,496.43,0.0418,0.2542,0.1228,1
META_C_155_730,174.73,155.23,0.0305,0.2724,1.1186,1
META_P_80_731,76.69,80.43,0.0349,0.3756,0.8122,0
AMZN_P_97_732,114.15,97.42,0.0362,0.3892,0.9561,0
NVDA_P_136_733,141.92,136.98,0.0495,0.1887,0.3156,0
AAPL_C_328_734,329.79,328.41,0.0463,0.2673,0.6013,1
AMZN_C_381_735,416.36,381.75,0.0412,0.2680,1.4694,1
QQQ_C_290_736,330.28,290.36,0.0328,0.2897,1.0186,1
SPY_C_219_737,225.21,219.63,0.0437,0.1707,1.1322,1
MSFT_C_262_738,271.61,262.32,0.0476,0.2083,0.4284,1
AAPL_P_302_739,342.57,302.29,0.0488,0.2185,0.5927,0
NVDA_P_345_740,331.97,345.12,0.0363,0.3974,1.8814,0
AMZN_C_163_741,172.40,163.04,0.0397,0.1884,1.8879,1
QQQ_C_114_742,129.86,114.92,0.0465,0.3384,1.1527,1
MSFT_C_280_743,282.66,280.92,0.0309,0.1628,0.3782,1
NVDA_C_69_744,75.07,69.82,0.0379,0.3480,0.1586,1
MSFT_P_259_745,242.32,259.25,0.0486,0.3141,0.5151,0
AAPL_P_222_746,208.73,222.69,0.0424,0.3862,1.8462,0
AAPL_P_305_747,334.32,305.54,0.0329,0.3307,0.0944,0
NVDA_C_333_748,366.34,333.90,0.0411,0.2445,1.9916,1
TSLA_C_526_749,461.87,526.43,0.0373,0.3240,1.9242,1
GOOGL_C_284_750,328.72,284.88,0.0388,0.2282,0.1669,1
SPY_P_90_751,82.74,90.02,0.0473,0.1738,1.1745,0
AMD_C_330_752,307.07,330.42,0.0313,0.3468,0.4476,1
GOOGL_P_297_753,276.90,297.19,0.0317,0.3772,0.7142,0
SPY_P_238_754,234.71,238.81,0.0435,0.3377,0.8189,0
AMZN_C_366_755,334.71,366.88,0.0442,0.1952,1.4367,1
META_P_273_756,250.50,273.15,0.0339,0.2609,1.2642,0
NVDA_P_388_757,455.86,388.62,0.0496,0.2276,1.5991,0
MSFT_C_452_758,433.98,452.75,0.0383,0.3821,0.4741,1
QQQ_C_400_759,414.23,400.67,0.0364,0.3197,1.1669,1
AMD_P_332_760,377.60,332.87,0.0316,0.2201,1.2152,0
MSFT_P_359_761,363.48,359.14,0.0415,0.1750,0.8527,0
AAPL_P_221_762,230.58,221.49,0.0496,0.3546,0.1677,0
QQQ_C_332_763,390.26,332.23,0.0412,0.2228,0.8573,1
TSLA_P_122_764,134.01,122.39,0.0342,0.2220,1.3532,0
QQQ_P_291_765,299.16,291.84,0.0396,0.1612,1.2726,0
QQQ_C_517_766,457.80,517.56,0.0316,0.2084,0.7380,1
TSLA_P_239_767,229.64,239.61,0.0344,0.3679,1.5010,0
AMZN_C_205_768,237.58,205.71,0.0428,0.3498,0.7647,1
GOOGL_P_105_769,100.78,105.03,0.0483,0.3328,1.9083,0
AAPL_C_167_770,175.24,167.90,0.0313,0.2965,1.4900,1
TSLA_C_228_771,240.81,228.93,0.0319,0.2704,1.9328,1
TSLA_C_457_772,441.13,457.26,0.0444,0.3315,0.4044,1
TSLA_P_403_773,368.09,403.67,0.0304,0.3575,1.1494,0
AMD_P_408_774,473.43,408.77,0.0342,0.3400,0.5101,0
AMD_C_159_775,149.22,159.37,0.0482,0.2121,0.6746,1
AMD_C_245_776,272.04,245.02,0.0491,0.2957,1.3815,1
NVDA_P_419_777,446.69,419.48,0.0405,0.3452,0.3103,0
META_P_560_778,488.34,560.74,0.0442,0.1912,0.8140,0
META_P_107_779,106.40,107.76,0.0427,0.2613,0.3286,0
TSLA_C_327_780,295.90,327.40,0.0343,0.2948,1.5372,1
GOOGL_C_149_781,139.80,149.64,0.0302,0.3831,0.3205,1
AAPL_C_207_782,232.02,207.68,0.0369,0.2851,0.6343,1
